,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
103,tianya.cn,20190410,0,0,0,0,0,0,0,0,0,0,144,114,282,145,210,310,295,224,117,265,151,50,73,58
104,pplive.cn,20190410,0,0,0,0,0,0,0,0,0,0,639,603,871,907,540,522,1062,2132,1184,2133,1955,1029,1052,817
105,runoob.com,20190410,0,0,0,0,0,0,0,0,0,0,537,472,93,289,318,633,675,501,371,589,855,666,637,820
106,doc88.com,20190410,0,0,0,0,0,0,0,0,0,0,2327,1401,758,1059,1449,1858,2339,1883,1309,2644,3132,2510,1744,1594
107,godaddy.com,20190410,0,0,0,0,0,0,0,0,0,0,230,227,153,180,218,263,239,220,158,261,296,274,225,222
108,ithome.com,20190410,0,0,0,0,0,0,0,0,0,0,593,510,769,790,290,749,332,505,497,571,484,492,304,1227
109,asahi.com,20190410,0,0,0,0,0,0,0,0,0,0,260,98,200,182,192,250,208,171,140,138,194,242,228,232
110,qingting.fm,20190410,0,0,0,0,0,0,0,0,0,0,500,510,748,1134,521,435,363,403,634,454,540,256,224,723
111,zdic.net,20190410,0,0,0,0,0,0,0,0,0,0,0,0,10,0,59,2,9,0,0,0,0,2,0,3
112,google.com,20190410,0,0,0,0,0,0,0,0,0,0,251,207,144,178,3100,218,258,5089,7847,1149,210,195,219,149
113,muchong.com,20190410,0,0,0,0,0,0,0,0,0,0,141,134,75,77,137,157,131,149,48,114,126,80,85,67
114,zhaopin.com,20190410,0,0,0,0,0,0,0,0,0,0,256,145,143,68,777,93,74,78,94,56,270,90,151,16
115,cnblogs.com,20190410,0,0,0,0,0,0,0,0,0,0,456,273,227,417,514,601,616,451,317,589,662,693,477,416
116,addthis.com,20190410,0,0,0,0,0,0,0,0,0,0,137,122,138,184,223,160,141,167,108,134,94,94,151,202
117,sciencenet.cn,20190410,0,0,0,0,0,0,0,0,0,0,251,305,235,307,251,148,275,394,124,163,133,401,228,66
118,ctrip.com,20190410,0,0,0,0,0,0,0,0,0,0,354,222,145,260,253,124,473,164,118,159,96,118,92,155
119,icourse163.org,20190410,0,0,0,0,0,0,0,0,0,0,148,301,98,67,148,71,279,171,351,132,150,269,110,278
120,xiami.com,20190410,0,0,0,0,0,0,0,0,0,0,657,528,678,645,325,479,687,460,1228,1102,1101,1175,807,536
121,koolearn.com,20190410,0,0,0,0,0,0,0,0,0,0,272,252,252,228,281,216,290,247,255,263,446,540,492,226
122,hexun.com,20190410,0,0,0,0,0,0,0,0,0,0,298,299,109,48,452,560,587,768,633,200,238,126,163,73
123,douban.com,20190410,0,0,0,0,0,0,0,0,0,0,37,35,57,40,43,36,36,38,42,55,61,51,90,60
124,rarbg.to,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0
125,mafengwo.cn,20190410,0,0,0,0,0,0,0,0,0,0,132,242,111,140,110,189,377,280,174,118,166,63,261,256
126,gemius.pl,20190410,0,0,0,0,0,0,0,0,0,0,76,48,15,26,42,56,38,29,21,22,41,45,44,89
127,4chan.org,20190410,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
128,imooc.com,20190410,0,0,0,0,0,0,0,0,0,0,87,26,15,85,35,86,54,22,0,46,53,57,54,76
129,spotify.com,20190410,0,0,0,0,0,0,0,0,0,0,42,69,47,34,15,36,30,106,12,12,25,18,11,4
130,cqvip.com,20190410,0,0,0,0,0,0,0,0,0,0,366,110,60,76,298,416,168,232,186,278,65,223,200,59
131,cnet.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
132,flightradar24.com,20190410,0,0,0,0,0,0,0,0,0,0,389,0,287,174,357,216,529,744,0,317,160,253,52,372
133,hujiang.com,20190410,0,0,0,0,0,0,0,0,0,0,17,15,12,67,32,24,32,14,21,38,49,16,36,51
134,jumei.com,20190410,0,0,0,0,0,0,0,0,0,0,70,26,19,31,89,74,75,101,153,91,4,45,78,12
135,jquery.com,20190410,0,0,0,0,0,0,0,0,0,0,30,21,15,34,41,34,33,19,25,26,27,18,25,20
136,qiniu.com,20190410,0,0,0,0,0,0,0,0,0,0,752,586,951,823,456,1259,1192,602,812,1295,1495,889,1505,1350
137,qiaobutang.com,20190410,0,0,0,0,0,0,0,0,0,0,91,34,20,35,77,71,61,46,68,230,129,162,109,60
138,zongheng.com,20190410,0,0,0,0,0,0,0,0,0,0,46,79,59,9,7,27,74,11,26,34,62,325,54,181
139,fastpic.ru,20190410,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,4,0,0,0,0
140,ci123.com,20190410,0,0,0,0,0,0,0,0,0,0,168,345,150,252,255,109,68,14,0,162,74,111,122,70
141,guancha.cn,20190410,0,0,0,0,0,0,0,0,0,0,29,35,34,45,202,16,18,23,33,44,25,31,24,18
142,oracle.com,20190410,0,0,0,0,0,0,0,0,0,0,190,20,33,11,28,713,241,43,13,27,30,38,56,25
143,spotscenered.info,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
144,huya.com,20190410,0,0,0,0,0,0,0,0,0,0,20347,33304,51126,47928,34343,33803,35992,48293,72879,94404,83879,87699,90577,107356
145,wps.cn,20190410,0,0,0,0,0,0,0,0,0,0,68278,55352,51500,50943,44116,59575,48928,46898,47296,54938,67551,62080,64586,55550
146,kuwo.cn,20190410,0,0,0,0,0,0,0,0,0,0,3668,2667,3453,4243,3979,4634,4256,4596,3918,5002,6363,4826,5343,4606
147,youth.cn,20190410,0,0,0,0,0,0,0,0,0,0,3071,3552,2823,3709,3063,3196,2712,3135,3070,3459,3299,3078,3316,3840
148,msn.com,20190410,0,0,0,0,0,0,0,0,0,0,1312,1334,1178,1287,1404,1487,1377,1433,1420,1552,1437,1376,1144,1145
149,pptv.com,20190410,0,0,0,0,0,0,0,0,0,0,1018,989,1316,1235,1019,984,912,1554,1692,2430,2402,2016,1781,1603
150,miui.com,20190410,0,0,0,0,0,0,0,0,0,0,8049,10493,11507,9603,8027,8920,7224,9013,10247,9634,7220,7822,9078,10540
151,jd.com,20190410,0,0,0,0,0,0,0,0,0,0,3293,2980,2154,2664,2550,4714,2396,2563,2453,2783,2040,2396,1837,2825
152,cnki.net,20190410,0,0,0,0,0,0,0,0,0,0,28173,19836,8566,14014,18084,28102,24826,17979,13374,20052,23930,22309,17592,10834
153,yy.com,20190410,0,0,0,0,0,0,0,0,0,0,859,1408,1990,2005,2300,2143,2084,3065,4105,5266,6595,5798,5626,4530
154,ele.me,20190410,0,0,0,0,0,0,0,0,0,0,1281,2521,1117,375,183,536,614,1203,934,1517,843,227,174,283
155,so.com,20190410,0,0,0,0,0,0,0,0,0,0,1033,858,296,688,780,829,831,658,481,563,603,543,559,466
156,mi.com,20190410,0,0,0,0,0,0,0,0,0,0,1981,2593,1753,3161,1110,2960,1803,1787,1397,2265,1994,2155,2219,2702
157,163.com,20190410,0,0,0,0,0,0,0,0,0,0,21409,23353,30578,26939,23670,29631,29534,27352,30936,33735,32753,31256,31447,31934
158,qy.net,20190410,0,0,0,0,0,0,0,0,0,0,21448,27102,37959,40771,25262,32328,27627,34367,37390,36038,36905,35904,41973,52703
159,gmw.cn,20190410,0,0,0,0,0,0,0,0,0,0,1498,1345,1394,1869,1380,1647,1272,1538,1756,1635,1631,1522,1821,1675
160,mob.com,20190410,0,0,0,0,0,0,0,0,0,0,4613,5981,6121,7066,5419,5414,4762,5673,6879,6165,6599,7211,8127,9350
161,uc.cn,20190410,0,0,0,0,0,0,0,0,0,0,6234,5633,6307,7400,6412,5976,5125,4889,5866,5331,4272,3905,4116,6416
162,126.com,20190410,0,0,0,0,0,0,0,0,0,0,130,121,57,80,77,135,197,117,135,332,167,115,78,58
163,nowcoder.com,20190410,0,0,0,0,0,0,0,0,0,0,39,26,35,26,63,43,46,22,51,90,56,114,62,41
164,xdf.cn,20190410,0,0,0,0,0,0,0,0,0,0,438,253,355,1170,1037,318,548,479,213,363,484,225,897,267
165,csdn.net,20190410,0,0,0,0,0,0,0,0,0,0,182,144,67,102,95,183,205,137,87,233,248,217,128,345
166,51cto.com,20190410,0,0,0,0,0,0,0,0,0,0,36,41,88,61,50,159,43,11,25,36,80,143,14,21
167,1688.com,20190410,0,0,0,0,0,0,0,0,0,0,100,69,71,95,102,139,84,122,102,106,122,114,91,53
168,nationalgeographic.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,githubusercontent.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,25
170,ibaotu.com,20190410,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
171,uniqlo.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
172,shutterstock.com,20190410,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,7,0,0,0,10,0,0
173,playstation.com,20190410,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
174,buzzfeed.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,valuecommerce.com,20190410,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2
176,codepen.io,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,zara.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
178,usatoday.com,20190410,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
179,investing.com,20190410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,plex.tv,20190410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
181,vporn.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,ask.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,tradedoubler.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
184,mlb.com,20190410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,kooora.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,36,0
186,digitalocean.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
187,friv.com,20190410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
188,gyazo.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,instagram.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,amazon.de,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,patreon.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
192,monster.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0
193,duckduckgo.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,savefrom.net,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
195,yifysubtitles.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
196,tumblr.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
197,tutorialspoint.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,doublepimp.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,tutorialspoint.com,20190411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
