,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
484,hotmovs.com,0,0,0,0.0,0.0,,,,,11,31.298860302846798,0,0.0,0,3,0.3636363636363637,1406.0,1406.0,340.0,0
485,rajasthan.gov.in,0,0,0,0.0,0.0,,,,,16,55.24511249783653,0,0.0,0,3,0.5625,5833.0,5833.0,735.0,0
486,televisionfanatic.com,0,0,0,0.0,0.0,,,,,21,75.4837783761905,0,0.0,0,3,0.4761904761904762,3378.0,3378.0,52.0,0
487,techradar.com,0,0,0,0.0,0.0,,,,,13,42.1057163358342,0,0.0,0,3,0.38461538461538464,5644.0,5644.0,644.0,0
488,sciencenet.cn,0,0,0,0.0,0.0,1.0,9.0,0.0,3.260650085013284,13,33.84105382934379,0,0.0,0,2,0.7692307692307693,,,,0
489,81.cn,0,0,0,0.0,0.0,4.0,3.0,1.224744871391589,0.1370315198035834,5,11.60964047443681,2,0.4,1,1,0.4,,,,0
490,google.com.ar,0,0,0,0.0,0.0,,,,,13,39.350828833670725,0,0.0,0,2,0.4615384615384616,,,,0
491,slate.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,9,28.52932501298081,0,0.0,0,2,0.5555555555555556,8854.0,8854.0,91.0,0
492,hamariweb.com,0,0,0,0.0,0.0,,,,,13,44.10571633583419,0,0.0,0,3,0.4615384615384616,4753.0,4753.0,524.0,0
493,rt.com,0,0,0,0.0,0.0,,,,,6,15.509775004326935,0,0.0,0,2,0.5,10101.0,10101.0,1701.0,0
494,mozilla.org,2,1,0,1.0,0.0,2.0,2.0,0.0,0.0,11,34.05374780501027,0,0.0,0,2,0.6363636363636364,7786.0,7786.0,149.0,0
495,lolsided.com,0,0,0,0.0,0.0,,,,,12,37.019550008653866,0,0.0,0,3,0.4166666666666667,882.0,882.0,278.0,0
496,smugmug.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11,29.298860302846798,0,0.0,0,2,0.6363636363636364,6132.0,6132.0,192.0,0
