,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
483,ezwebtest.com,0,0.0,0.0,0.0,1
484,atw.hu,0,0.0,0.0,0.0,1
485,jekyllrb.com,0,0.0,0.0,0.0,1
486,yunshenjia.com,0,0.0,0.0,0.0,1
487,cctianhong.com,0,0.0,0.0,0.0,1
488,istole.it,0,0.0,0.0,0.0,1
489,xiepp.cc,0,0.0,0.0,0.0,1
490,hostgator.com,0,0.0,0.0,0.0,1
491,gotoip55.com,0,0.0,0.0,0.0,1
492,bounceme.net,0,0.0,0.0,0.0,1
493,mlinks.cc,0,0.0,0.0,0.0,1
494,qyhxhnt.com,0,0.0,0.0,0.0,1
