,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
212,haretahoo.science,17,56.73198079909232,0,0.0,0,3,0.4117647058823529
213,gsxzq.com,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
214,mobileanjian.com,16,54.0,0,0.0,0,4,0.375
215,52e9.com,8,24.0,3,0.375,2,2,0.375
216,aliyuncs.com,12,41.01955000865387,0,0.0,0,4,0.25
217,demonii.si,10,28.464393446710154,0,0.0,0,2,0.5
218,pc0359.cn,9,26.529325012980813,4,0.4444444444444444,1,2,0.2222222222222222
219,teens-pusses.ru,15,43.848471431964306,0,0.0,0,3,0.4
220,fastcdn.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
221,51edu.com,9,28.529325012980813,2,0.2222222222222222,1,1,0.6666666666666666
222,manhuagui.com,13,42.105716335834195,0,0.0,0,4,0.23076923076923078
223,runclickrun.com,15,47.8484714319643,0,0.0,0,4,0.3333333333333333
224,pc6.com,7,17.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855
225,198174.com,10,31.21928094887362,6,0.6,1,1,0.3
226,80s.la,6,15.509775004326936,2,0.3333333333333333,1,1,0.5
227,uw0.xyz,7,19.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855
228,dataoke.com,11,34.05374780501027,0,0.0,0,3,0.36363636363636365
229,kkkkkdajlhlkjhsdewgtuv.com,26,98.7016576673415,0,0.0,0,2,0.8461538461538461
230,yn.gov.cn,9,24.529325012980813,0,0.0,0,3,0.3333333333333333
231,qiniudn.com,11,34.05374780501027,0,0.0,0,5,0.2727272727272727
232,xiaoxintoutiao.com,18,56.30376252379817,0,0.0,0,1,0.9444444444444444
233,tv002.com,9,26.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
234,aoao365.com,11,31.2988603028468,3,0.2727272727272727,1,3,0.2727272727272727
235,pcfreetime.com,14,44.548081406643,0,0.0,0,4,0.2857142857142857
236,99lb.net,8,22.0,2,0.25,1,2,0.375
237,bluefrog.pw,11,38.05374780501027,0,0.0,0,3,0.36363636363636365
238,iyouxia.com,11,34.05374780501027,0,0.0,0,4,0.2727272727272727
239,pft12301.cc,11,34.05374780501027,5,0.45454545454545453,1,2,0.2727272727272727
240,paopaoche.net,13,40.105716335834195,0,0.0,0,4,0.3076923076923077
241,lwtxt.cc,8,20.0,0,0.0,0,3,0.375
242,fastapi.net,11,34.05374780501027,0,0.0,0,3,0.36363636363636365
243,files.fm,8,22.0,0,0.0,0,2,0.625
244,x4w.co,6,15.509775004326936,1,0.16666666666666666,1,2,0.5
245,sanguoq.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
246,mting.info,10,29.21928094887362,0,0.0,0,3,0.4
247,mimo51.com,10,26.46439344671015,2,0.2,1,2,0.4
248,acgvideo.com,12,39.01955000865387,0,0.0,0,3,0.4166666666666667
249,46sdzf3zdg1dxg2.us,18,64.30376252379817,5,0.2777777777777778,4,6,0.16666666666666666
250,jsyxw.cn,8,24.0,0,0.0,0,3,0.375
251,vnu.edu.vn,10,25.21928094887362,0,0.0,0,3,0.3
252,xsfaya.com,10,31.21928094887362,0,0.0,0,3,0.5
253,cba.pl,6,15.509775004326936,0,0.0,0,2,0.5
254,rrurl.cn,8,19.24511249783653,0,0.0,0,3,0.375
255,kaola100.com,12,37.01955000865387,3,0.25,1,3,0.25
256,dj134.com,9,28.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
257,advancemactools.com,19,64.44596024893772,0,0.0,0,4,0.3684210526315789
258,u33.cc,6,11.509775004326936,2,0.3333333333333333,1,2,0.3333333333333333
259,bookfi.net,10,31.21928094887362,0,0.0,0,2,0.5
260,btzoo.eu,8,22.0,0,0.0,0,3,0.375
261,tujingdy.com,12,43.01955000865387,0,0.0,0,4,0.3333333333333333
262,3dxy.com,8,24.0,1,0.125,1,3,0.375
263,hxgame.net,10,31.21928094887362,0,0.0,0,3,0.4
264,kuroy.me,8,24.0,0,0.0,0,3,0.375
265,msftconnecttest.com,19,57.95573525326466,0,0.0,0,4,0.3684210526315789
266,5idzc.com,9,26.529325012980813,1,0.1111111111111111,1,3,0.3333333333333333
267,kickasstracker.com,18,59.5488750216347,0,0.0,0,4,0.3888888888888889
268,wyjsq.cn,8,24.0,0,0.0,0,1,0.875
269,388g.com,8,22.0,3,0.375,1,1,0.5
270,ruubypay.com,12,39.01955000865388,0,0.0,0,3,0.5
