,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
307,allegro.pl,0,0,0,0.0,0.0
308,qiaobutang.com,0,0,0,0.0,0.0
309,asana.com,0,0,0,0.0,0.0
310,kizlarsoruyor.com,0,0,0,0.0,0.0
311,patreon.com,0,0,0,0.0,0.0
312,teepr.com,0,0,0,0.0,0.0
313,instagram.com,0,0,0,0.0,0.0
314,indexmovie.me,0,0,0,0.0,0.0
315,tianya.cn,0,0,0,0.0,0.0
316,mobileofferplace.site,0,0,0,0.0,0.0
317,plex.tv,0,0,0,0.0,0.0
318,piriform.com,2,1,0,0.0,0.0
319,jobrapido.com,0,0,0,0.0,0.0
320,readthedocs.io,1,1,0,0.0,0.0
321,blocket.se,0,0,0,0.0,0.0
322,spiceworks.com,0,0,0,0.0,0.0
323,renren.com,0,0,0,0.0,0.0
324,jw.org,0,0,0,0.0,0.0
325,sportzwiki.com,0,0,0,0.0,0.0
326,mobafire.com,0,0,0,0.0,0.0
327,oracle.com,3,3,0,0.9999999999999999,0.9999999999999999
328,xiaomi.com,168,20,85,0.6751753297632295,0.6267330020522786
329,reverb.com,0,0,0,0.0,0.0
330,focus.de,0,0,0,0.0,0.0
331,stubhub.com,0,0,0,0.0,0.0
332,zara.com,0,0,0,0.0,0.0
333,aparat.com,0,0,0,0.0,0.0
334,ancestry.com,0,0,0,0.0,0.0
335,gotomeeting.com,0,0,0,0.0,0.0
336,githubusercontent.com,0,0,0,0.0,0.0
337,lenta.ru,0,0,0,0.0,0.0
338,brightside.me,0,0,0,0.0,0.0
339,archiveofourown.org,0,0,0,0.0,0.0
340,apple.com,0,0,0,0.0,0.0
341,minuto30.com,0,0,0,0.0,0.0
342,amazon.fr,0,0,0,0.0,0.0
343,yy.com,0,0,0,0.0,0.0
344,gotporn.com,0,0,0,0.0,0.0
345,blogger.com,0,0,0,0.0,0.0
346,oeeee.com,2,2,51,1.0,1.0
347,internetportalne.ws,0,0,0,0.0,0.0
348,tomsguide.com,0,0,0,0.0,0.0
349,tumblr.com,0,0,0,0.0,0.0
350,sankei.com,0,0,0,0.0,0.0
351,81.cn,0,0,0,0.0,0.0
352,khabaronline.ir,0,0,0,0.0,0.0
353,linkshrink.net,0,0,0,0.0,0.0
354,ajel.sa,0,0,0,0.0,0.0
355,google.ca,0,0,0,0.0,0.0
